,y,v(y),vÂ´(y)
0,0.0,0.0,5.250000000000001
1,0.005,0.026250000000000006,4.697368421052633
2,0.01,0.04973684210526317,4.144736842105265
3,0.015,0.0704605263157895,3.592105263157896
4,0.02,0.08842105263157898,3.0394736842105274
5,0.025,0.10361842105263162,2.486842105263159
6,0.030000000000000002,0.11605263157894742,1.9342105263157903
7,0.035,0.12572368421052638,1.3815789473684217
8,0.04,0.1326315789473685,0.8289473684210532
9,0.045,0.13677631578947375,0.27631578947368474
10,0.049999999999999996,0.13815789473684217,-0.27631578947368374
11,0.05499999999999999,0.13677631578947375,-0.8289473684210522
12,0.05999999999999999,0.1326315789473685,-1.3815789473684208
13,0.06499999999999999,0.12572368421052638,-1.9342105263157894
14,0.06999999999999999,0.11605263157894743,-2.486842105263158
15,0.075,0.10361842105263164,-3.0394736842105265
16,0.08,0.08842105263157901,-3.592105263157895
17,0.085,0.07046052631578953,-4.144736842105264
18,0.09000000000000001,0.04973684210526321,-4.697368421052632
19,0.09500000000000001,0.02625000000000005,-5.25
20,0.10000000000000002,5.204170427930421e-17,-5.802631578947368
